lat,lon,on_yelp
33.05193,-95.11522,1.0
32.82169,-97.419205,1.0
29.738728,-95.380226,1.0
32.78223,-96.80678,0.0
32.83777,-97.132164,1.0
32.835873,-96.805504,1.0
29.938913,-95.6295,1.0
29.838558,-95.34237,0.0
35.82786,-90.70681,0.0
31.777409,-106.50244,1.0
30.057262,-95.43846,1.0
29.572033,-95.56925,0.0
32.725487,-97.36266,0.0
31.372856,-94.70939,0.0
30.26982,-97.75119,1.0
29.618902,-95.60235,0.0
29.537178,-95.13737,1.0
26.203178,-98.231514,0.0
33.584835,-101.86134,0.0
33.234066,-96.7496,0.0
32.79564,-96.80953,1.0
29.70339,-95.56827,1.0
33.026463,-96.78889,0.0
29.737267,-95.490295,0.0
33.626373,-97.15192,1.0
27.878065,-97.09628,1.0
26.107113,-97.16893,0.0
30.387651,-97.7398,1.0
32.68111,-97.135155,0.0
32.79996,-96.80058,0.0
29.916485,-95.41368,0.0
32.903484,-97.31769,0.0
32.968597,-96.71642,0.0
29.72053,-95.47415,0.0
29.38573,-95.02045,1.0
29.450367,-98.48742,0.0
33.092354,-96.80416,1.0
30.950003,-95.37529,1.0
32.743916,-97.309364,1.0
26.481842,-97.78253,0.0
29.759127,-95.36328,1.0
32.64457,-96.52137,0.0
33.88133,-98.579155,0.0
30.361164,-97.69875,0.0
32.769,-97.09668,1.0
31.869991,-102.320755,0.0
26.24695,-98.22215,1.0
32.789665,-96.80861,1.0
32.72078,-96.875725,1.0
35.16055,-101.900604,0.0
32.78351,-97.38536,1.0
33.02078,-96.91611,1.0
29.749617,-95.37789,1.0
30.589308,-103.89413,1.0
33.039845,-96.751854,1.0
32.941826,-97.05986,1.0
29.584848,-98.596375,1.0
29.783653,-95.60756,0.0
27.78239,-97.39845,0.0
29.18012,-95.433426,1.0
30.037828,-95.494576,1.0
32.931053,-97.19472,1.0
30.249786,-97.754654,1.0
32.42825,-99.72996,0.0
32.712234,-97.06023,0.0
33.491413,-86.98243,0.0
32.863384,-96.80973,0.0
29.596376,-95.62329,1.0
27.826342,-97.06804,0.0
29.73055,-95.58974,1.0
29.390333,-98.50363,1.0
29.642788,-98.490845,1.0
31.748236,-106.281235,1.0
30.948786,-95.913246,1.0
29.976454,-95.51895,1.0
33.06457,-96.797615,1.0
32.90728,-96.55686,1.0
32.751743,-97.3549,1.0
33.020992,-96.91738,1.0
29.458353,-98.700195,1.0
33.625965,-97.146286,1.0
29.791937,-95.13501,0.0
29.741964,-95.39178,1.0
32.768574,-97.31032,0.0
29.549984,-98.40726,1.0
25.94811,-97.50306,0.0
32.940353,-97.140945,1.0
26.874887,-99.258804,1.0
32.837784,-96.9894,1.0
29.742172,-95.2323,0.0
29.76256,-95.36737,1.0
26.211836,-98.16461,0.0
29.764423,-95.36209,1.0
32.87698,-97.42648,1.0
30.194084,-97.67109,0.0
29.420883,-98.499985,1.0
29.737988,-95.496765,1.0
29.7601,-95.36141,1.0
29.940166,-95.3957,0.0
28.973194,-96.65764,0.0
29.557322,-95.365265,1.0
29.548716,-98.40861,0.0
32.6737,-97.194405,1.0
30.01896,-95.37581,1.0
29.70384,-95.57018,0.0
28.028088,-97.51306,0.0
27.519098,-99.510185,0.0
31.724203,-96.149025,0.0
29.743122,-95.396904,1.0
29.818405,-95.54532,1.0
32.839836,-96.843056,0.0
29.663874,-95.08876,1.0
29.736937,-95.52195,1.0
29.397465,-95.834206,1.0
30.058027,-99.16368,1.0
33.09095,-96.82086,1.0
29.734642,-95.41978,0.0
32.793716,-96.80394,1.0
30.009008,-95.4593,1.0
29.528875,-98.4994,1.0
29.783646,-95.58306,1.0
33.029358,-96.99366,0.0
29.812016,-95.4222,1.0
32.780266,-97.34807,0.0
32.742474,-97.05157,0.0
33.57782,-101.90536,0.0
32.836494,-96.8765,1.0
29.51056,-98.46667,1.0
33.59193,-101.94128,1.0
27.530262,-99.475235,1.0
32.71701,-97.441734,1.0
25.899532,-97.49652,0.0
32.851643,-97.16852,0.0
32.979156,-96.764565,0.0
32.70201,-97.28658,0.0
29.736681,-95.48932,0.0
31.595427,-97.29647,0.0
32.868427,-96.94586,1.0
29.545378,-97.95346,0.0
43.844536,-91.421,1.0
30.247063,-98.05505,1.0
29.670193,-95.27643,1.0
28.806158,-97.016396,1.0
30.347656,-97.714386,1.0
31.724802,-106.304375,1.0
32.67729,-97.402245,0.0
33.174385,-96.50123,0.0
32.8128,-96.80421,1.0
29.596258,-95.6222,0.0
33.04418,-96.67683,1.0
29.601398,-98.561935,1.0
29.42375,-98.48442,0.0
33.587692,-101.870316,1.0
29.891836,-97.94137,1.0
32.489773,-94.36125,0.0
29.737598,-95.57284,1.0
32.988476,-96.85294,0.0
29.729847,-95.64407,1.0
32.892918,-96.479294,1.0
29.77061,-95.40562,0.0
32.80282,-96.7808,0.0
40.16414,-105.10213,1.0
33.214252,-97.132614,1.0
32.954773,-96.81298,1.0
31.11139,-97.74666,1.0
29.370665,-100.88029,1.0
33.490257,-101.84118,0.0
32.91311,-96.74536,1.0
32.078262,-96.508934,0.0
32.862152,-97.05861,1.0
31.756119,-106.49376,1.0
29.95699,-95.54498,1.0
29.212278,-99.776955,0.0
32.940315,-97.11906,1.0
32.6481,-96.85939,1.0
29.742426,-95.443695,1.0
29.999506,-95.58209,1.0
32.74385,-97.659706,1.0
29.520739,-98.46047,0.0
29.785948,-95.38582,0.0
30.011654,-95.53766,1.0
32.40942,-94.71487,1.0
31.055614,-97.4623,1.0
29.519949,-98.48949,1.0
40.414673,-120.64752,1.0
31.101086,-97.362305,1.0
30.302822,-97.94754,0.0
29.706303,-95.55264,1.0
30.197237,-98.02326,1.0
32.973907,-96.71489,1.0
32.866913,-96.77266,1.0
29.783703,-95.58354,1.0
32.775032,-96.75655,0.0
26.178104,-98.33226,0.0
27.797556,-97.39248,1.0
29.721859,-95.34012,1.0
32.7564,-94.345184,1.0
29.783306,-95.5551,1.0
29.903545,-97.904434,1.0
30.111128,-97.31105,0.0
47.729565,-117.05657,1.0
